solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, cash, fileNumber
4, 0, 0.006, 0.0155, 1, 1, 50, 1
4, 0, 0.005, 0.0205, 1, 1, 100, 1
4, 0, 0.0049, 0.0254, 1, 1, 150, 1
4, 0, 0.0052, 0.0306, 1, 1, 200, 1
4, 0, 0.0053, 0.0359, 1, 1, 250, 1
4, 0, 0.005, 0.0409, 1, 1, 300, 1
4, 0, 0.0057, 0.0466, 1, 1, 350, 1
4, 0, 0.005, 0.0516, 1, 1, 400, 1
4, 0, 0.0051, 0.0567, 1, 1, 450, 1
4, 0, 0.0053, 0.0621, 1, 1, 500, 1
4, 0, 0.0061, 0.0681, 1, 1, 550, 1
4, 0, 0.0065, 0.0746, 1, 1, 600, 1
4, 0, 0.0065, 0.0811, 1, 1, 650, 1
4, 0, 0.0062, 0.0873, 1, 1, 700, 1
4, 0, 0.0067, 0.0939, 1, 1, 750, 1
4, 0, 0.0067, 0.1006, 1, 1, 800, 1
4, 0, 0.007, 0.1076, 1, 1, 850, 1
4, 0, 0.0061, 0.1137, 1, 1, 900, 1
4, 0, 0.0067, 0.1204, 1, 1, 950, 1
4, 0, 0.0063, 0.1267, 1, 1, 1000, 1
4, 0, 0.0066, 0.1333, 1, 1, 1050, 1
4, 0, 0.0063, 0.1396, 1, 1, 1100, 1
4, 0, 0.0072, 0.1468, 1, 1, 1150, 1
4, 0, 0.0061, 0.1529, 1, 1, 1200, 1
4, 0, 0.0063, 0.1591, 1, 2, 50, 2
4, 0, 0.0065, 0.1656, 1, 2, 100, 2
4, 0, 0.0063, 0.1719, 1, 2, 150, 2
4, 0, 0.0064, 0.1783, 1, 2, 200, 2
4, 0, 0.0063, 0.1847, 1, 2, 250, 2
4, 0, 0.0061, 0.1908, 1, 2, 300, 2
4, 0, 0.0062, 0.197, 1, 2, 350, 2
4, 0, 0.0062, 0.2032, 1, 2, 400, 2
4, 0, 0.0061, 0.2093, 1, 2, 450, 2
4, 0, 0.0063, 0.2155, 1, 2, 500, 2
4, 0, 0.0072, 0.2227, 1, 2, 550, 2
4, 0, 0.0068, 0.2295, 1, 2, 600, 2
4, 0, 0.0078, 0.2374, 1, 2, 650, 2
4, 0, 0.0058, 0.2432, 1, 2, 700, 2
4, 0, 0.0082, 0.2514, 1, 2, 750, 2
4, 0, 0.0063, 0.2577, 1, 2, 800, 2
4, 0, 0.0069, 0.2647, 1, 2, 850, 2
4, 0, 0.0064, 0.2711, 1, 2, 900, 2
4, 0, 0.0068, 0.2779, 1, 2, 950, 2
4, 0, 0.0073, 0.2852, 1, 2, 1000, 2
4, 0, 0.0063, 0.2915, 1, 2, 1050, 2
4, 0, 0.0067, 0.2982, 1, 2, 1100, 2
4, 0, 0.0067, 0.3049, 1, 2, 1150, 2
4, 0, 0.0064, 0.3113, 1, 2, 1200, 2
4, 0, 0.0061, 0.3174, 1, 3, 50, 3
4, 0, 0.0055, 0.3229, 1, 3, 100, 3
4, 0, 0.0063, 0.3291, 1, 3, 150, 3
4, 0, 0.0063, 0.3354, 1, 3, 200, 3
4, 0, 0.0064, 0.3419, 1, 3, 250, 3
4, 0, 0.0083, 0.3502, 1, 3, 300, 3
