solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, cash, fileNumber
4, 0, 0.3481, 0.3481, 1, 1, 1200, 1
4, 0, 0.0056, 0.3537, 1, 1, 1250, 1
4, 0, 0.0059, 0.3596, 1, 1, 1300, 1
4, 0, 0.0056, 0.3651, 1, 1, 1350, 1
4, 0, 0.0058, 0.371, 1, 1, 1400, 1
4, 0, 0.0058, 0.3767, 1, 1, 1450, 1
4, 0, 0.0065, 0.3832, 1, 1, 1500, 1
4, 0, 0.0065, 0.3897, 1, 2, 1200, 2
4, 0, 0.0068, 0.3964, 1, 2, 1250, 2
4, 0, 0.0069, 0.4034, 1, 2, 1300, 2
4, 0, 0.0069, 0.4103, 1, 2, 1350, 2
4, 0, 0.0073, 0.4176, 1, 2, 1400, 2
4, 0, 0.0071, 0.4246, 1, 2, 1450, 2
4, 0, 0.0071, 0.4317, 1, 2, 1500, 2
4, 0, 0.0073, 0.439, 1, 3, 1200, 3
4, 0, 0.0069, 0.4459, 1, 3, 1250, 3
4, 0, 0.008, 0.4539, 1, 3, 1300, 3
4, 0, 0.0071, 0.461, 1, 3, 1350, 3
4, 0, 0.0071, 0.4682, 1, 3, 1400, 3
4, 0, 0.0067, 0.4749, 1, 3, 1450, 3
4, 0, 0.0069, 0.4818, 1, 3, 1500, 3
4, 0, 0.007, 0.4888, 1, 4, 1200, 4
4, 0, 0.0075, 0.4963, 1, 4, 1250, 4
4, 0, 0.0069, 0.5032, 1, 4, 1300, 4
4, 0, 0.0072, 0.5104, 1, 4, 1350, 4
4, 0, 0.0068, 0.5172, 1, 4, 1400, 4
4, 0, 0.0076, 0.5248, 1, 4, 1450, 4
4, 0, 0.0069, 0.5317, 1, 4, 1500, 4
4, 0, 0.0082, 0.5399, 1, 5, 1200, 5
4, 0, 0.0069, 0.5468, 1, 5, 1250, 5
4, 0, 0.0072, 0.554, 1, 5, 1300, 5
4, 0, 0.0072, 0.5612, 1, 5, 1350, 5
4, 0, 0.0081, 0.5693, 1, 5, 1400, 5
4, 0, 0.0067, 0.5761, 1, 5, 1450, 5
4, 0, 0.0079, 0.584, 1, 5, 1500, 5
4, 0, 0.0068, 0.5908, 1, 6, 1200, 6
4, 0, 0.008, 0.5988, 1, 6, 1250, 6
4, 0, 0.0067, 0.6056, 1, 6, 1300, 6
4, 0, 0.0082, 0.6137, 1, 6, 1350, 6
4, 0, 0.0066, 0.6204, 1, 6, 1400, 6
4, 0, 0.0079, 0.6282, 1, 6, 1450, 6
4, 0, 0.007, 0.6352, 1, 6, 1500, 6
4, 0, 0.0076, 0.6428, 1, 7, 1200, 7
4, 0, 0.0068, 0.6495, 1, 7, 1250, 7
4, 0, 0.0071, 0.6566, 1, 7, 1300, 7
4, 0, 0.0066, 0.6633, 1, 7, 1350, 7
4, 0, 0.0075, 0.6707, 1, 7, 1400, 7
4, 0, 0.007, 0.6777, 1, 7, 1450, 7
4, 0, 0.0073, 0.6851, 1, 7, 1500, 7
4, 0, 0.0071, 0.6922, 1, 8, 1200, 8
4, 0, 0.007, 0.6992, 1, 8, 1250, 8
4, 0, 0.0073, 0.7065, 1, 8, 1300, 8
