solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, cash
2, 0.0465, 0.0181, 0.0181, 4, 5, 0
2, 0.0465, 0.0168, 0.0349, 4, 5, 0.01
2, 0.0465, 0.0177, 0.0526, 4, 5, 0.02
2, 0.0465, 0.0165, 0.0691, 4, 5, 0.03
2, 0.0465, 0.0171, 0.0862, 4, 5, 0.04
2, 0.0465, 0.0237, 0.1099, 4, 5, 0.05
2, 0.0465, 0.0243, 0.1342, 4, 5, 0.06
2, 0.0465, 0.0234, 0.1577, 4, 5, 0.07
2, 0.0465, 0.0167, 0.1744, 4, 5, 0.08
2, 0.0465, 0.0172, 0.1915, 4, 5, 0.09
2, 0.0465, 0.0177, 0.2092, 4, 5, 0.1
2, 0.0465, 0.0165, 0.2257, 4, 5, 0.11
2, 0.0465, 0.0261, 0.2518, 4, 5, 0.12
2, 0.0465, 0.0159, 0.2678, 4, 5, 0.13
2, 0.0465, 0.0235, 0.2913, 4, 5, 0.14
2, 0.0465, 0.0225, 0.3138, 4, 5, 0.15
2, 0.0465, 0.0298, 0.3435, 4, 5, 0.16
2, 0.0465, 0.024, 0.3676, 4, 5, 0.17
2, 0.0465, 0.0164, 0.384, 4, 5, 0.18
2, 0.0465, 0.0159, 0.3999, 4, 5, 0.19
2, 0.0465, 0.0174, 0.4173, 4, 5, 0.2
2, 0.0465, 0.0306, 0.4479, 4, 5, 0.21
2, 0.0465, 0.0164, 0.4643, 4, 5, 0.22
2, 0.0465, 0.0221, 0.4864, 4, 5, 0.23
2, 0.0465, 0.0208, 0.5072, 4, 5, 0.24
2, 0.0465, 0.0236, 0.5308, 4, 5, 0.25
2, 0.0464, 0.0169, 0.5477, 4, 5, 0.26
2, 0.0464, 0.0165, 0.5642, 4, 5, 0.27
2, 0.0464, 0.0236, 0.5878, 4, 5, 0.28
2, 0.0464, 0.0159, 0.6037, 4, 5, 0.29
2, 0.0464, 0.0173, 0.621, 4, 5, 0.3
2, 0.0464, 0.0167, 0.6377, 4, 5, 0.31
2, 0.0464, 0.0178, 0.6555, 4, 5, 0.32
2, 0.0464, 0.0345, 0.69, 4, 5, 0.33
2, 0.0464, 0.0234, 0.7134, 4, 5, 0.34
2, 0.0464, 0.0391, 0.7524, 4, 5, 0.35
2, 0.0464, 0.0215, 0.7739, 4, 5, 0.36
2, 0.0464, 0.0265, 0.8003, 4, 5, 0.37
2, 0.0464, 0.0199, 0.8202, 4, 5, 0.38
2, 0.0464, 0.021, 0.8412, 4, 5, 0.39
2, 0.0464, 0.0505, 0.8916, 4, 5, 0.4
2, 0.0464, 0.0261, 0.9178, 4, 5, 0.41
2, 0.0464, 0.0277, 0.9455, 4, 5, 0.42
2, 0.0464, 0.0208, 0.9663, 4, 5, 0.43
2, 0.0464, 0.0221, 0.9884, 4, 5, 0.44
2, 0.0464, 0.0227, 1.0111, 4, 5, 0.45
2, 0.0464, 0.0245, 1.0356, 4, 5, 0.46
