solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
4, 0, 0.0061, 0.0423, 1, 1, 1
4, 0, 0.006, 0.0482, 1, 2, 2
4, 0, 0.0053, 0.0535, 1, 3, 3
4, 0, 0.0053, 0.0588, 1, 4, 4
4, 0, 0.0052, 0.064, 1, 5, 5
4, 0, 0.0051, 0.0692, 1, 6, 6
4, 0, 0.0054, 0.0746, 1, 7, 7
4, 0, 0.0054, 0.08, 1, 8, 8
4, 0, 0.0052, 0.0852, 1, 9, 9
4, 0, 0.0054, 0.0906, 1, 10, 10
4, 0, 0.0059, 0.0966, 1, 11, 11
4, 0, 0.007, 0.1036, 1, 12, 12
4, 0, 0.0061, 0.1097, 1, 13, 13
4, 0, 0.0058, 0.1155, 1, 14, 14
4, 0, 0.0057, 0.1212, 1, 15, 15
4, 0, 0.0071, 0.1283, 1, 16, 16
4, 0, 0.006, 0.1343, 1, 17, 17
4, 0, 0.0058, 0.1401, 1, 18, 18
4, 0, 0.0055, 0.1455, 1, 19, 19
4, 0, 0.0058, 0.1513, 1, 20, 20
2, 0, 0.0065, 0.1578, 2, 1, 21
2, 0, 0.0119, 0.1697, 2, 2, 22
2, 0, 0.0119, 0.1815, 2, 3, 23
2, 0, 0.0117, 0.1933, 2, 4, 24
2, 0, 0.0134, 0.2067, 2, 5, 25
2, 0, 0.0152, 0.2219, 2, 6, 26
2, 0, 0.0123, 0.2342, 2, 7, 27
2, 0, 0.011, 0.2451, 2, 8, 28
2, 0, 0.0112, 0.2563, 2, 9, 29
2, 0, 0.0159, 0.2722, 2, 10, 30
2, 0, 0.0124, 0.2846, 2, 11, 31
2, 0, 0.0132, 0.2978, 2, 12, 32
2, 0, 0.0113, 0.3091, 2, 13, 33
2, 0, 0.0127, 0.3218, 2, 14, 34
2, 0, 0.0168, 0.3385, 2, 15, 35
2, 0, 0.0137, 0.3522, 2, 16, 36
2, 0, 0.0148, 0.3671, 2, 17, 37
2, 0, 0.014, 0.3811, 2, 18, 38
2, 0, 0.0113, 0.3924, 2, 19, 39
2, 0, 0.0145, 0.4068, 2, 20, 40
2, 0, 0.0071, 0.4139, 3, 1, 41
2, 0, 0.0065, 0.4204, 3, 2, 42
2, 0, 0.0135, 0.4339, 3, 3, 43
2, 0, 0.0135, 0.4474, 3, 4, 44
2, 0, 0.0145, 0.4619, 3, 5, 45
2, 0, 0.0184, 0.4803, 3, 6, 46
2, 0, 0.0116, 0.4919, 3, 7, 47
2, 0, 0.018, 0.5099, 3, 8, 48
2, 0, 0.0198, 0.5297, 3, 9, 49
2, 0, 0.0169, 0.5467, 3, 10, 50
2, 0, 0.0124, 0.5591, 3, 11, 51
2, 0, 0.0198, 0.5788, 3, 12, 52
2, 0, 0.0189, 0.5977, 3, 13, 53
2, 0, 0.0154, 0.6131, 3, 14, 54
2, 0, 0.0196, 0.6327, 3, 15, 55
2, 0, 0.0143, 0.6469, 3, 16, 56
2, 0, 0.0166, 0.6635, 3, 17, 57
2, 0, 0.0178, 0.6813, 3, 18, 58
2, 0, 0.0205, 0.7018, 3, 19, 59
2, 0, 0.0167, 0.7185, 3, 20, 60
2, 0, 0.0063, 0.7248, 4, 1, 61
2, 0, 0.0062, 0.731, 4, 2, 62
2, 0, 0.0064, 0.7374, 4, 3, 63
2, 0, 0.02, 0.7574, 4, 4, 64
2, 0, 0.0157, 0.7731, 4, 5, 65
2, 0, 0.024, 0.7971, 4, 6, 66
2, 0, 0.0161, 0.8132, 4, 7, 67
2, 0, 0.0187, 0.832, 4, 8, 68
2, 0, 0.0265, 0.8585, 4, 9, 69
2, 0, 0.0195, 0.878, 4, 10, 70
2, 0, 0.0141, 0.892, 4, 11, 71
2, 0, 0.0254, 0.9174, 4, 12, 72
2, 0, 0.0247, 0.9421, 4, 13, 73
2, 0, 0.0264, 0.9685, 4, 14, 74
2, 0, 0.0249, 0.9934, 4, 15, 75
2, 0, 0.0247, 1.018, 4, 16, 76
2, 0, 0.0258, 1.0438, 4, 17, 77
2, 0, 0.0246, 1.0684, 4, 18, 78
2, 0, 0.024, 1.0924, 4, 19, 79
2, 0, 0.027, 1.1194, 4, 20, 80
2, 0, 0.0063, 1.1257, 5, 1, 81
2, 0, 0.0065, 1.1322, 5, 2, 82
