solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, cash,  fileNumber
4, 0, 0.0063, 0.0063, 1, 1, 50, 1
4, 0, 0.0066, 0.0129, 1, 1, 100, 1
4, 0, 0.0073, 0.0203, 1, 1, 150, 1
4, 0, 0.0103, 0.0306, 1, 1, 200, 1
4, 0, 0.0109, 0.0415, 1, 1, 250, 1
4, 0, 0.0077, 0.0491, 1, 1, 300, 1
4, 0, 0.0052, 0.0543, 1, 1, 400, 1
4, 0, 0.0048, 0.0591, 1, 1, 600, 1
4, 0, 0.0061, 0.0652, 1, 1, 800, 1
4, 0, 0.007, 0.0723, 1, 2, 50, 2
4, 0, 0.0067, 0.079, 1, 2, 100, 2
4, 0, 0.0065, 0.0855, 1, 2, 150, 2
4, 0, 0.0056, 0.0911, 1, 2, 200, 2
4, 0, 0.0074, 0.0985, 1, 2, 250, 2
4, 0, 0.0064, 0.1049, 1, 2, 300, 2
4, 0, 0.0081, 0.1131, 1, 2, 400, 2
4, 0, 0.0063, 0.1194, 1, 2, 600, 2
4, 0, 0.006, 0.1254, 1, 2, 800, 2
4, 0, 0.0085, 0.1339, 1, 3, 50, 3
4, 0, 0.0069, 0.1408, 1, 3, 100, 3
4, 0, 0.0067, 0.1475, 1, 3, 150, 3
4, 0, 0.0066, 0.1541, 1, 3, 200, 3
4, 0, 0.006, 0.1602, 1, 3, 250, 3
4, 0, 0.0051, 0.1653, 1, 3, 300, 3
4, 0, 0.0055, 0.1709, 1, 3, 400, 3
4, 0, 0.0054, 0.1762, 1, 3, 600, 3
4, 0, 0.0071, 0.1833, 1, 3, 800, 3
4, 0, 0.0057, 0.1891, 1, 4, 50, 4
4, 0, 0.0082, 0.1973, 1, 4, 100, 4
4, 0, 0.0066, 0.2038, 1, 4, 150, 4
4, 0, 0.007, 0.2109, 1, 4, 200, 4
4, 0, 0.0088, 0.2196, 1, 4, 250, 4
4, 0, 0.0064, 0.2261, 1, 4, 300, 4
4, 0, 0.0074, 0.2335, 1, 4, 400, 4
4, 0, 0.0062, 0.2397, 1, 4, 600, 4
4, 0, 0.0064, 0.2461, 1, 4, 800, 4
4, 0, 0.007, 0.2531, 1, 5, 50, 5
4, 0, 0.0052, 0.2583, 1, 5, 100, 5
4, 0, 0.0076, 0.266, 1, 5, 150, 5
