solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, cash,  fileNumber
4, 0, 0.0059, 0.0166, 1, 1, 50, 1
4, 0, 0.0057, 0.0223, 1, 1, 100, 1
4, 0, 0.0057, 0.028, 1, 1, 150, 1
4, 0, 0.0058, 0.0338, 1, 1, 200, 1
4, 0, 0.0058, 0.0395, 1, 1, 250, 1
4, 0, 0.0056, 0.0451, 1, 1, 300, 1
4, 0, 0.0059, 0.051, 1, 1, 400, 1
4, 0, 0.0056, 0.0567, 1, 1, 600, 1
4, 0, 0.0053, 0.0619, 1, 1, 800, 1
4, 0, 0.006, 0.068, 1, 2, 50, 2
4, 0, 0.0066, 0.0746, 1, 2, 100, 2
4, 0, 0.0055, 0.0801, 1, 2, 150, 2
4, 0, 0.0055, 0.0856, 1, 2, 200, 2
4, 0, 0.0055, 0.0911, 1, 2, 250, 2
4, 0, 0.0054, 0.0965, 1, 2, 300, 2
4, 0, 0.006, 0.1024, 1, 2, 400, 2
4, 0, 0.0064, 0.1088, 1, 2, 600, 2
4, 0, 0.0051, 0.1139, 1, 2, 800, 2
4, 0, 0.0065, 0.1204, 1, 3, 50, 3
4, 0, 0.005, 0.1254, 1, 3, 100, 3
4, 0, 0.006, 0.1314, 1, 3, 150, 3
4, 0, 0.0059, 0.1373, 1, 3, 200, 3
4, 0, 0.006, 0.1434, 1, 3, 250, 3
4, 0, 0.0066, 0.15, 1, 3, 300, 3
4, 0, 0.0063, 0.1563, 1, 3, 400, 3
4, 0, 0.0053, 0.1616, 1, 3, 600, 3
4, 0, 0.0051, 0.1667, 1, 3, 800, 3
4, 0, 0.0054, 0.1722, 1, 4, 50, 4
4, 0, 0.0053, 0.1775, 1, 4, 100, 4
4, 0, 0.0054, 0.1829, 1, 4, 150, 4
4, 0, 0.0063, 0.1892, 1, 4, 200, 4
4, 0, 0.0054, 0.1946, 1, 4, 250, 4
4, 0, 0.0058, 0.2004, 1, 4, 300, 4
4, 0, 0.0059, 0.2063, 1, 4, 400, 4
4, 0, 0.0054, 0.2118, 1, 4, 600, 4
4, 0, 0.0053, 0.2171, 1, 4, 800, 4
4, 0, 0.0055, 0.2226, 1, 5, 50, 5
4, 0, 0.0061, 0.2287, 1, 5, 100, 5
4, 0, 0.0055, 0.2342, 1, 5, 150, 5
4, 0, 0.0053, 0.2395, 1, 5, 200, 5
4, 0, 0.0053, 0.2448, 1, 5, 250, 5
4, 0, 0.0054, 0.2502, 1, 5, 300, 5
4, 0, 0.0057, 0.2559, 1, 5, 400, 5
4, 0, 0.0055, 0.2613, 1, 5, 600, 5
