solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, cash
2, 0.0465, 0.0196, 0.0196, 4, 5, 0
2, 0.0465, 0.0366, 0.0562, 4, 5, 0.01
2, 0.0465, 0.0388, 0.095, 4, 5, 0.02
2, 0.0464, 0.0227, 0.1178, 4, 5, 0.03
2, 0.0464, 0.0483, 0.1661, 4, 5, 0.04
2, 0.0464, 0.0269, 0.193, 4, 5, 0.05
2, 0.0464, 0.0311, 0.2241, 4, 5, 0.06
2, 0.0463, 0.0337, 0.2577, 4, 5, 0.07
2, 0.0463, 0.0271, 0.2848, 4, 5, 0.08
2, 0.0463, 0.0345, 0.3193, 4, 5, 0.09
2, 0.0463, 0.0211, 0.3403, 4, 5, 0.1
2, 0.0462, 0.0179, 0.3583, 4, 5, 0.11
2, 0.0462, 0.048, 0.4063, 4, 5, 0.12
2, 0.0462, 0.0567, 0.463, 4, 5, 0.13
2, 0.0462, 0.0252, 0.4882, 4, 5, 0.14
2, 0.0461, 0.0212, 0.5094, 4, 5, 0.15
2, 0.0461, 0.0195, 0.5289, 4, 5, 0.16
2, 0.0461, 0.0208, 0.5497, 4, 5, 0.17
2, 0.0461, 0.0239, 0.5736, 4, 5, 0.18
2, 0.046, 0.0332, 0.6067, 4, 5, 0.19
2, 0.046, 0.0222, 0.6289, 4, 5, 0.2
2, 0.046, 0.0226, 0.6516, 4, 5, 0.21
2, 0.046, 0.0211, 0.6726, 4, 5, 0.22
2, 0.046, 0.0285, 0.7011, 4, 5, 0.23
2, 0.0459, 0.0259, 0.727, 4, 5, 0.24
2, 0.0459, 0.0347, 0.7617, 4, 5, 0.25
2, 0.0459, 0.036, 0.7978, 4, 5, 0.26
2, 0.0459, 0.0371, 0.8348, 4, 5, 0.27
2, 0.0458, 0.0196, 0.8545, 4, 5, 0.28
2, 0.0458, 0.019, 0.8735, 4, 5, 0.29
2, 0.0458, 0.0264, 0.8999, 4, 5, 0.3
2, 0.0458, 0.0205, 0.9204, 4, 5, 0.31
2, 0.0457, 0.0186, 0.939, 4, 5, 0.32
2, 0.0457, 0.0369, 0.976, 4, 5, 0.33
2, 0.0457, 0.0269, 1.0029, 4, 5, 0.34
2, 0.0457, 0.0375, 1.0403, 4, 5, 0.35
2, 0.0456, 0.0413, 1.0816, 4, 5, 0.36
2, 0.0456, 0.0317, 1.1133, 4, 5, 0.37
2, 0.0456, 0.0197, 1.133, 4, 5, 0.38
2, 0.0456, 0.0224, 1.1554, 4, 5, 0.39
2, 0.0455, 0.0376, 1.1931, 4, 5, 0.4
2, 0.0455, 0.0926, 1.2857, 4, 5, 0.41
2, 0.0455, 0.0255, 1.3111, 4, 5, 0.42
2, 0.0455, 0.0253, 1.3364, 4, 5, 0.43
2, 0.0454, 0.0187, 1.3552, 4, 5, 0.44
2, 0.0454, 0.0277, 1.3829, 4, 5, 0.45
2, 0.0454, 0.0267, 1.4095, 4, 5, 0.46
2, 0.0454, 0.0316, 1.4411, 4, 5, 0.47
2, 0.0453, 0.0377, 1.4788, 4, 5, 0.48
2, 0.0453, 0.0201, 1.499, 4, 5, 0.49
2, 0.0453, 0.0185, 1.5175, 4, 5, 0.5
2, 0.0453, 0.0263, 1.5438, 4, 5, 0.51
2, 0.0452, 0.0262, 1.57, 4, 5, 0.52
2, 0.0452, 0.0249, 1.5949, 4, 5, 0.53
2, 0.0452, 0.0265, 1.6214, 4, 5, 0.54
2, 0.0452, 0.022, 1.6434, 4, 5, 0.55
2, 0.0452, 0.0322, 1.6755, 4, 5, 0.56
2, 0.0451, 0.0207, 1.6963, 4, 5, 0.57
2, 0.0451, 0.0218, 1.718, 4, 5, 0.58
2, 0.0451, 0.0377, 1.7558, 4, 5, 0.59
2, 0.0451, 0.0333, 1.7891, 4, 5, 0.6
2, 0.045, 0.0326, 1.8217, 4, 5, 0.61
2, 0.045, 0.0253, 1.847, 4, 5, 0.62
2, 0.045, 0.0265, 1.8735, 4, 5, 0.63
2, 0.045, 0.0317, 1.9052, 4, 5, 0.64
2, 0.0449, 0.0612, 1.9664, 4, 5, 0.65
2, 0.0449, 0.0244, 1.9907, 4, 5, 0.66
2, 0.0449, 0.042, 2.0327, 4, 5, 0.67
2, 0.0449, 0.0295, 2.0622, 4, 5, 0.68
2, 0.0448, 0.0342, 2.0964, 4, 5, 0.69
2, 0.0448, 0.0498, 2.1462, 4, 5, 0.7
2, 0.0448, 0.024, 2.1703, 4, 5, 0.71
2, 0.0448, 0.0341, 2.2044, 4, 5, 0.72
2, 0.0447, 0.0207, 2.2252, 4, 5, 0.73
2, 0.0447, 0.022, 2.2472, 4, 5, 0.74
2, 0.0447, 0.0505, 2.2976, 4, 5, 0.75
2, 0.0447, 0.0563, 2.3539, 4, 5, 0.76
2, 0.0446, 0.0256, 2.3794, 4, 5, 0.77
2, 0.0446, 0.0257, 2.4051, 4, 5, 0.78
2, 0.0446, 0.0204, 2.4255, 4, 5, 0.79
2, 0.0446, 0.0477, 2.4732, 4, 5, 0.8
2, 0.0445, 0.0209, 2.4941, 4, 5, 0.81
2, 0.0445, 0.046, 2.5401, 4, 5, 0.82
2, 0.0445, 0.0938, 2.634, 4, 5, 0.83
2, 0.0445, 0.0836, 2.7176, 4, 5, 0.84
2, 0.0444, 0.038, 2.7556, 4, 5, 0.85
2, 0.0444, 0.0319, 2.7875, 4, 5, 0.86
2, 0.0444, 0.0315, 2.819, 4, 5, 0.87
2, 0.0444, 0.0314, 2.8504, 4, 5, 0.88
2, 0.0444, 0.0305, 2.8809, 4, 5, 0.89
2, 0.0443, 0.0325, 2.9134, 4, 5, 0.9
2, 0.0443, 0.0299, 2.9434, 4, 5, 0.91
2, 0.0443, 0.0238, 2.9672, 4, 5, 0.92
2, 0.0443, 0.025, 2.9922, 4, 5, 0.93
2, 0.0442, 0.0275, 3.0197, 4, 5, 0.94
2, 0.0442, 0.0348, 3.0545, 4, 5, 0.95
2, 0.0442, 0.0324, 3.087, 4, 5, 0.96
2, 0.0442, 0.0213, 3.1083, 4, 5, 0.97
2, 0.0441, 0.0338, 3.142, 4, 5, 0.98
2, 0.0441, 0.0728, 3.2149, 4, 5, 0.99
2, 0.0441, 0.053, 3.2679, 4, 5, 1
2, 0.0441, 0.0273, 3.2951, 4, 5, 1.01
2, 0.044, 0.031, 3.3262, 4, 5, 1.02
2, 0.044, 0.0272, 3.3533, 4, 5, 1.03
2, 0.044, 0.0944, 3.4478, 4, 5, 1.04
2, 0.044, 0.0328, 3.4806, 4, 5, 1.05
2, 0.0439, 0.0307, 3.5113, 4, 5, 1.06
2, 0.0439, 0.0353, 3.5467, 4, 5, 1.07
2, 0.0439, 0.0323, 3.5789, 4, 5, 1.08
2, 0.0439, 0.0295, 3.6084, 4, 5, 1.09
2, 0.0438, 0.0271, 3.6355, 4, 5, 1.1
2, 0.0438, 0.0241, 3.6596, 4, 5, 1.11
2, 0.0438, 0.0206, 3.6802, 4, 5, 1.12
2, 0.0438, 0.0208, 3.701, 4, 5, 1.13
2, 0.0437, 0.0194, 3.7204, 4, 5, 1.14
2, 0.0437, 0.0198, 3.7402, 4, 5, 1.15
2, 0.0437, 0.022, 3.7621, 4, 5, 1.16
2, 0.0437, 0.0315, 3.7936, 4, 5, 1.17
2, 0.0436, 0.0219, 3.8155, 4, 5, 1.18
2, 0.0436, 0.0212, 3.8367, 4, 5, 1.19
2, 0.0436, 0.0207, 3.8573, 4, 5, 1.2
2, 0.0436, 0.0243, 3.8817, 4, 5, 1.21
2, 0.0436, 0.0239, 3.9055, 4, 5, 1.22
2, 0.0435, 0.0452, 3.9508, 4, 5, 1.23
2, 0.0435, 0.0292, 3.98, 4, 5, 1.24
2, 0.0435, 0.0293, 4.0093, 4, 5, 1.25
2, 0.0435, 0.0239, 4.0332, 4, 5, 1.26
2, 0.0434, 0.0225, 4.0557, 4, 5, 1.27
2, 0.0434, 0.0197, 4.0754, 4, 5, 1.28
2, 0.0434, 0.0269, 4.1023, 4, 5, 1.29
2, 0.0434, 0.0197, 4.122, 4, 5, 1.3
2, 0.0433, 0.0189, 4.141, 4, 5, 1.31
2, 0.0433, 0.022, 4.163, 4, 5, 1.32
2, 0.0433, 0.0362, 4.1992, 4, 5, 1.33
2, 0.0433, 0.0199, 4.219, 4, 5, 1.34
2, 0.0432, 0.0381, 4.2572, 4, 5, 1.35
2, 0.0432, 0.0378, 4.295, 4, 5, 1.36
2, 0.0432, 0.0265, 4.3216, 4, 5, 1.37
2, 0.0432, 0.0245, 4.3461, 4, 5, 1.38
2, 0.0431, 0.0264, 4.3725, 4, 5, 1.39
2, 0.0431, 0.0563, 4.4288, 4, 5, 1.4
2, 0.0431, 0.0348, 4.4635, 4, 5, 1.41
2, 0.0431, 0.0402, 4.5037, 4, 5, 1.42
2, 0.043, 0.0524, 4.5561, 4, 5, 1.43
2, 0.043, 0.0573, 4.6134, 4, 5, 1.44
2, 0.043, 0.033, 4.6464, 4, 5, 1.45
2, 0.043, 0.0308, 4.6772, 4, 5, 1.46
2, 0.0429, 0.0337, 4.7109, 4, 5, 1.47
2, 0.0429, 0.0297, 4.7407, 4, 5, 1.48
2, 0.0429, 0.0247, 4.7653, 4, 5, 1.49
2, 0.0429, 0.0355, 4.8008, 4, 5, 1.5
2, 0.0428, 0.0425, 4.8433, 4, 5, 1.51
2, 0.0428, 0.0204, 4.8638, 4, 5, 1.52
2, 0.0428, 0.02, 4.8838, 4, 5, 1.53
2, 0.0428, 0.0289, 4.9126, 4, 5, 1.54
2, 0.0428, 0.0389, 4.9516, 4, 5, 1.55
2, 0.0427, 0.0277, 4.9793, 4, 5, 1.56
2, 0.0427, 0.0516, 5.0308, 4, 5, 1.57
2, 0.0427, 0.0201, 5.051, 4, 5, 1.58
2, 0.0427, 0.0231, 5.074, 4, 5, 1.59
2, 0.0426, 0.0414, 5.1154, 4, 5, 1.6
2, 0.0426, 0.1057, 5.2211, 4, 5, 1.61
2, 0.0426, 0.0235, 5.2446, 4, 5, 1.62
2, 0.0426, 0.0417, 5.2863, 4, 5, 1.63
2, 0.0425, 0.0259, 5.3123, 4, 5, 1.64
2, 0.0425, 0.0275, 5.3398, 4, 5, 1.65
2, 0.0425, 0.0222, 5.3619, 4, 5, 1.66
2, 0.0425, 0.0516, 5.4135, 4, 5, 1.67
2, 0.0424, 0.08, 5.4936, 4, 5, 1.68
2, 0.0424, 0.0317, 5.5252, 4, 5, 1.69
2, 0.0424, 0.0226, 5.5478, 4, 5, 1.7
2, 0.0424, 0.018, 5.5658, 4, 5, 1.71
2, 0.0423, 0.0195, 5.5853, 4, 5, 1.72
2, 0.0423, 0.0229, 5.6082, 4, 5, 1.73
2, 0.0423, 0.0205, 5.6288, 4, 5, 1.74
2, 0.0423, 0.0196, 5.6484, 4, 5, 1.75
2, 0.0422, 0.0209, 5.6693, 4, 5, 1.76
2, 0.0422, 0.0515, 5.7208, 4, 5, 1.77
2, 0.0422, 0.0272, 5.748, 4, 5, 1.78
2, 0.0422, 0.0284, 5.7764, 4, 5, 1.79
2, 0.0421, 0.0177, 5.794, 4, 5, 1.8
2, 0.0421, 0.0206, 5.8147, 4, 5, 1.81
2, 0.0421, 0.0225, 5.8371, 4, 5, 1.82
2, 0.0421, 0.0213, 5.8585, 4, 5, 1.83
2, 0.0421, 0.0322, 5.8907, 4, 5, 1.84
2, 0.042, 0.0662, 5.9569, 4, 5, 1.85
2, 0.042, 0.0555, 6.0124, 4, 5, 1.86
2, 0.042, 0.0444, 6.0568, 4, 5, 1.87
2, 0.042, 0.021, 6.0778, 4, 5, 1.88
2, 0.0419, 0.0281, 6.1059, 4, 5, 1.89
2, 0.0419, 0.0271, 6.133, 4, 5, 1.9
2, 0.0419, 0.021, 6.154, 4, 5, 1.91
2, 0.0419, 0.0246, 6.1786, 4, 5, 1.92
2, 0.0418, 0.037, 6.2155, 4, 5, 1.93
2, 0.0418, 0.0245, 6.24, 4, 5, 1.94
2, 0.0418, 0.0174, 6.2574, 4, 5, 1.95
2, 0.0418, 0.0247, 6.2822, 4, 5, 1.96
2, 0.0417, 0.0258, 6.308, 4, 5, 1.97
2, 0.0417, 0.0179, 6.3259, 4, 5, 1.98
2, 0.0417, 0.0209, 6.3468, 4, 5, 1.99
2, 0.0417, 0.0251, 6.3719, 4, 5, 2
2, 0.0416, 0.0192, 6.3911, 4, 5, 2.01
2, 0.0416, 0.0387, 6.4297, 4, 5, 2.02
2, 0.0416, 0.0854, 6.5151, 4, 5, 2.03
2, 0.0416, 0.0502, 6.5652, 4, 5, 2.04
2, 0.0415, 0.0198, 6.5851, 4, 5, 2.05
2, 0.0415, 0.024, 6.6091, 4, 5, 2.06
2, 0.0415, 0.0406, 6.6497, 4, 5, 2.07
2, 0.0415, 0.0275, 6.6772, 4, 5, 2.08
2, 0.0414, 0.0303, 6.7075, 4, 5, 2.09
2, 0.0414, 0.0371, 6.7446, 4, 5, 2.1
2, 0.0414, 0.0273, 6.7719, 4, 5, 2.11
2, 0.0414, 0.0266, 6.7985, 4, 5, 2.12
2, 0.0414, 0.0381, 6.8366, 4, 5, 2.13
2, 0.0413, 0.0187, 6.8553, 4, 5, 2.14
2, 0.0413, 0.0194, 6.8747, 4, 5, 2.15
2, 0.0413, 0.0288, 6.9035, 4, 5, 2.16
2, 0.0413, 0.0459, 6.9494, 4, 5, 2.17
2, 0.0412, 0.0231, 6.9725, 4, 5, 2.18
2, 0.0412, 0.0406, 7.0131, 4, 5, 2.19
2, 0.0412, 0.0189, 7.032, 4, 5, 2.2
2, 0.0412, 0.0584, 7.0904, 4, 5, 2.21
2, 0.0411, 0.0178, 7.1082, 4, 5, 2.22
2, 0.0411, 0.0184, 7.1266, 4, 5, 2.23
2, 0.0411, 0.0185, 7.1451, 4, 5, 2.24
2, 0.0411, 0.0173, 7.1624, 4, 5, 2.25
2, 0.041, 0.0199, 7.1823, 4, 5, 2.26
2, 0.041, 0.0276, 7.21, 4, 5, 2.27
2, 0.041, 0.0299, 7.2399, 4, 5, 2.28
2, 0.041, 0.0256, 7.2655, 4, 5, 2.29
2, 0.0409, 0.0255, 7.291, 4, 5, 2.3
2, 0.0409, 0.0586, 7.3496, 4, 5, 2.31
2, 0.0409, 0.0204, 7.37, 4, 5, 2.32
2, 0.0409, 0.0409, 7.4109, 4, 5, 2.33
2, 0.0408, 0.0258, 7.4367, 4, 5, 2.34
2, 0.0408, 0.0202, 7.4569, 4, 5, 2.35
2, 0.0408, 0.0217, 7.4786, 4, 5, 2.36
2, 0.0408, 0.0185, 7.4972, 4, 5, 2.37
2, 0.0408, 0.0175, 7.5146, 4, 5, 2.38
2, 0.0407, 0.0255, 7.5401, 4, 5, 2.39
2, 0.0407, 0.0225, 7.5626, 4, 5, 2.4
2, 0.0407, 0.0173, 7.5798, 4, 5, 2.41
2, 0.0407, 0.0182, 7.5981, 4, 5, 2.42
2, 0.0406, 0.0224, 7.6205, 4, 5, 2.43
2, 0.0406, 0.0186, 7.639, 4, 5, 2.44
2, 0.0406, 0.0192, 7.6582, 4, 5, 2.45
2, 0.0406, 0.0191, 7.6773, 4, 5, 2.46
2, 0.0405, 0.0221, 7.6995, 4, 5, 2.47
2, 0.0405, 0.0278, 7.7272, 4, 5, 2.48
2, 0.0405, 0.0201, 7.7474, 4, 5, 2.49
2, 0.0405, 0.0212, 7.7686, 4, 5, 2.5
2, 0.0404, 0.02, 7.7886, 4, 5, 2.51
2, 0.0404, 0.0229, 7.8115, 4, 5, 2.52
2, 0.0404, 0.0249, 7.8364, 4, 5, 2.53
2, 0.0404, 0.018, 7.8544, 4, 5, 2.54
2, 0.0403, 0.018, 7.8724, 4, 5, 2.55
2, 0.0403, 0.0182, 7.8906, 4, 5, 2.56
2, 0.0403, 0.0175, 7.9081, 4, 5, 2.57
2, 0.0403, 0.0275, 7.9356, 4, 5, 2.58
2, 0.0402, 0.0238, 7.9594, 4, 5, 2.59
2, 0.0402, 0.0258, 7.9852, 4, 5, 2.6
