solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
422, 0.1077, 300.2203, 300.2203, 18, 16, 356
422, 0.083, 300.0926, 600.3129, 18, 17, 357
422, 0.0266, 300.0319, 900.3448, 18, 18, 358
422, 0.0284, 300.1748, 1200.5196, 18, 19, 359
422, 0.034, 300.4862, 1501.0058, 18, 20, 360
2, 1, 0.0253, 1501.0312, 19, 1, 361
2, 0.7518, 0.0372, 1501.0683, 19, 2, 362
2, 0.6307, 0.1388, 1501.2071, 19, 3, 363
2, 0.5217, 0.1031, 1501.3102, 19, 4, 364
2, 0.3801, 0.097, 1501.4073, 19, 5, 365
2, 0.2895, 4.3983, 1505.8055, 19, 6, 366
2, 0.2411, 10.5181, 1516.3236, 19, 7, 367
3, 0.2338, 53.1739, 1569.4976, 19, 8, 368
3, 0.1866, 201.6135, 1771.1111, 19, 9, 369
422, 0.1752, 300.1521, 2071.2632, 19, 10, 370
422, 0.1589, 300.0699, 2371.333, 19, 11, 371
422, 0.1512, 300.0885, 2671.4215, 19, 12, 372
422, 0.1327, 300.0853, 2971.5068, 19, 13, 373
422, 0.123, 300.1897, 3271.6966, 19, 14, 374
422, 0.106, 300.0552, 3571.7518, 19, 15, 375
422, 0.1043, 300.0592, 3871.8109, 19, 16, 376
