solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
422, 0.1077, 300.2197, 300.2197, 18, 16, 356
422, 0.083, 300.1062, 600.3258, 18, 17, 357
422, 0.0266, 300.0418, 900.3676, 18, 18, 358
422, 0.0284, 300.2394, 1200.607, 18, 19, 359
422, 0.034, 300.3123, 1500.9193, 18, 20, 360
2, 1, 0.0463, 1500.9656, 19, 1, 361
2, 0.7518, 0.035, 1501.0006, 19, 2, 362
2, 0.6307, 0.1002, 1501.1008, 19, 3, 363
2, 0.5217, 0.1231, 1501.2239, 19, 4, 364
2, 0.3801, 0.1108, 1501.3347, 19, 5, 365
2, 0.2895, 3.9637, 1505.2984, 19, 6, 366
2, 0.2411, 9.1107, 1514.4091, 19, 7, 367
3, 0.2338, 48.0279, 1562.4369, 19, 8, 368
3, 0.1866, 222.7228, 1785.1597, 19, 9, 369
422, 0.1752, 300.1509, 2085.3106, 19, 10, 370
422, 0.1589, 300.0673, 2385.3779, 19, 11, 371
422, 0.1512, 300.0908, 2685.4687, 19, 12, 372
422, 0.1327, 300.0962, 2985.5649, 19, 13, 373
422, 0.123, 300.1753, 3285.7403, 19, 14, 374
521, 0.106, 134.0066, 3419.7468, 19, 15, 375
521, 0.1043, 2.6075, 3422.3544, 19, 16, 376
521, 0.1021, 0.4837, 3422.8381, 19, 17, 377
521, 0.087, 0.4841, 3423.3222, 19, 18, 378
521, 0.0152, 0.4724, 3423.7946, 19, 19, 379
521, 0.03, 0.5222, 3424.3168, 19, 20, 380
2, 1, 0.0117, 3424.3285, 20, 1, 381
2, 0.8407, 0.0387, 3424.3672, 20, 2, 382
2, 0.6625, 0.0561, 3424.4233, 20, 3, 383
102, 0.4564, 0.1211, 3424.5444, 20, 4, 384
521, 0.3733, 0.1972, 3424.7416, 20, 5, 385
521, 0.3031, 0.4848, 3425.2264, 20, 6, 386
521, 0.2643, 0.5685, 3425.7949, 20, 7, 387
521, 0.2374, 0.4865, 3426.2814, 20, 8, 388
521, 0.2007, 0.5844, 3426.8658, 20, 9, 389
521, 0.1726, 0.6856, 3427.5514, 20, 10, 390
521, 0.1539, 0.6312, 3428.1827, 20, 11, 391
521, 0.1495, 0.5747, 3428.7574, 20, 12, 392
521, 0.1487, 0.4986, 3429.256, 20, 13, 393
521, 0.1229, 0.5826, 3429.8385, 20, 14, 394
521, 0.111, 0.4567, 3430.2952, 20, 15, 395
521, 0.104, 0.4122, 3430.7075, 20, 16, 396
521, 0.1117, 0.4399, 3431.1473, 20, 17, 397
521, 0.0845, 0.4073, 3431.5546, 20, 18, 398
521, 0.0838, 0.4435, 3431.9982, 20, 19, 399
521, 0.019, 0.4211, 3432.4193, 20, 20, 400
