solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
4, 0, 0.0389, 0.0389, 1, 1, 1
4, 0, 0.0047, 0.0436, 1, 2, 2
4, 0, 0.0047, 0.0483, 1, 3, 3
4, 0, 0.0048, 0.0531, 1, 4, 4
4, 0, 0.0049, 0.058, 1, 5, 5
4, 0, 0.0047, 0.0626, 1, 6, 6
4, 0, 0.0048, 0.0674, 1, 7, 7
4, 0, 0.0052, 0.0727, 1, 8, 8
4, 0, 0.0049, 0.0776, 1, 9, 9
4, 0, 0.0046, 0.0822, 1, 10, 10
4, 0, 0.0051, 0.0874, 1, 11, 11
4, 0, 0.0049, 0.0923, 1, 12, 12
4, 0, 0.0047, 0.097, 1, 13, 13
4, 0, 0.005, 0.102, 1, 14, 14
4, 0, 0.0047, 0.1068, 1, 15, 15
4, 0, 0.0049, 0.1116, 1, 16, 16
4, 0, 0.0049, 0.1165, 1, 17, 17
4, 0, 0.0047, 0.1212, 1, 18, 18
4, 0, 0.0047, 0.1259, 1, 19, 19
4, 0, 0.0051, 0.131, 1, 20, 20
2, 1, 0.0182, 0.1491, 2, 1, 21
2, 0, 0.0082, 0.1573, 2, 2, 22
2, 0.0404, 0.0235, 0.1807, 2, 3, 23
2, 0, 0.0088, 0.1895, 2, 4, 24
2, 0, 0.0073, 0.1969, 2, 5, 25
2, 0, 0.0078, 0.2046, 2, 6, 26
2, 0, 0.0073, 0.2119, 2, 7, 27
2, 0, 0.0072, 0.2191, 2, 8, 28
2, 0, 0.0075, 0.2266, 2, 9, 29
2, 0, 0.0078, 0.2344, 2, 10, 30
2, 0, 0.0079, 0.2423, 2, 11, 31
2, 0, 0.0078, 0.2501, 2, 12, 32
2, 0, 0.0086, 0.2587, 2, 13, 33
2, 0, 0.0089, 0.2676, 2, 14, 34
2, 0, 0.0083, 0.2759, 2, 15, 35
2, 0, 0.0079, 0.2838, 2, 16, 36
2, 0, 0.0078, 0.2916, 2, 17, 37
2, 0, 0.0081, 0.2997, 2, 18, 38
2, 0, 0.0078, 0.3075, 2, 19, 39
2, 0, 0.0078, 0.3153, 2, 20, 40
2, 1, 0.0078, 0.3231, 3, 1, 41
2, 0.6513, 0.0152, 0.3383, 3, 2, 42
2, 0.0202, 0.013, 0.3513, 3, 3, 43
2, 0.1546, 0.0152, 0.3665, 3, 4, 44
2, 0, 0.0142, 0.3808, 3, 5, 45
2, 0, 0.0074, 0.3881, 3, 6, 46
2, 0, 0.008, 0.3961, 3, 7, 47
2, 0, 0.008, 0.4042, 3, 8, 48
2, 0, 0.0077, 0.4119, 3, 9, 49
2, 0, 0.0152, 0.4271, 3, 10, 50
2, 0, 0.0079, 0.435, 3, 11, 51
2, 0, 0.011, 0.446, 3, 12, 52
2, 0, 0.0078, 0.4538, 3, 13, 53
2, 0, 0.0077, 0.4615, 3, 14, 54
2, 0, 0.0079, 0.4694, 3, 15, 55
2, 0, 0.0079, 0.4773, 3, 16, 56
2, 0, 0.0083, 0.4855, 3, 17, 57
2, 0, 0.008, 0.4935, 3, 18, 58
2, 0, 0.0089, 0.5024, 3, 19, 59
2, 0, 0.0084, 0.5108, 3, 20, 60
2, 1, 0.0075, 0.5183, 4, 1, 61
2, 0.5105, 0.0098, 0.5281, 4, 2, 62
102, 0.4133, 0.0191, 0.5472, 4, 3, 63
2, 0.1067, 0.016, 0.5632, 4, 4, 64
2, 0.0087, 0.0425, 0.6057, 4, 5, 65
2, 0.0281, 0.0173, 0.623, 4, 6, 66
2, 0, 0.0214, 0.6444, 4, 7, 67
2, 0, 0.0573, 0.7017, 4, 8, 68
2, 0, 0.0158, 0.7175, 4, 9, 69
2, 0, 0.0087, 0.7262, 4, 10, 70
2, 0, 0.009, 0.7352, 4, 11, 71
2, 0, 0.0106, 0.7458, 4, 12, 72
2, 0, 0.0155, 0.7613, 4, 13, 73
2, 0, 0.0104, 0.7717, 4, 14, 74
2, 0, 0.0102, 0.7819, 4, 15, 75
2, 0, 0.0102, 0.7922, 4, 16, 76
2, 0, 0.0102, 0.8023, 4, 17, 77
2, 0, 0.0094, 0.8118, 4, 18, 78
2, 0, 0.0115, 0.8233, 4, 19, 79
2, 0, 0.0086, 0.8319, 4, 20, 80
2, 1, 0.0078, 0.8397, 5, 1, 81
102, 0.9114, 0.0145, 0.8542, 5, 2, 82
2, 0.4364, 0.0158, 0.87, 5, 3, 83
2, 0.3493, 0.017, 0.887, 5, 4, 84
2, 0.0473, 0.0157, 0.9027, 5, 5, 85
2, 0.0946, 0.0256, 0.9283, 5, 6, 86
2, 0.0348, 0.0212, 0.9494, 5, 7, 87
2, 0.0486, 0.0486, 0.998, 5, 8, 88
2, 0.01, 0.0375, 1.0356, 5, 9, 89
2, 0, 0.0176, 1.0532, 5, 10, 90
2, 0, 0.0321, 1.0852, 5, 11, 91
2, 0, 0.0208, 1.106, 5, 12, 92
2, 0, 0.019, 1.125, 5, 13, 93
2, 0, 0.023, 1.1481, 5, 14, 94
2, 0, 0.012, 1.1601, 5, 15, 95
2, 0, 0.0154, 1.1755, 5, 16, 96
2, 0, 0.0111, 1.1866, 5, 17, 97
2, 0, 0.0111, 1.1977, 5, 18, 98
2, 0, 0.0169, 1.2146, 5, 19, 99
2, 0, 0.0111, 1.2258, 5, 20, 100
2, 1, 0.0093, 1.235, 6, 1, 101
2, 0.928, 0.0121, 1.2471, 6, 2, 102
102, 0.4583, 0.0191, 1.2662, 6, 3, 103
2, 0.3201, 0.0212, 1.2873, 6, 4, 104
2, 0.2225, 0.0242, 1.3115, 6, 5, 105
2, 0.1689, 0.0248, 1.3363, 6, 6, 106
102, 0.0719, 0.0327, 1.3689, 6, 7, 107
2, 0.0312, 0.0502, 1.4191, 6, 8, 108
2, 0.0374, 0.0642, 1.4834, 6, 9, 109
2, 0.003, 0.0507, 1.5341, 6, 10, 110
2, 0.007, 0.2124, 1.7465, 6, 11, 111
2, 0, 0.0298, 1.7764, 6, 12, 112
2, 0, 0.0274, 1.8037, 6, 13, 113
2, 0, 0.0228, 1.8265, 6, 14, 114
2, 0, 0.04, 1.8665, 6, 15, 115
