solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
4, 0, 0.0071, 0.0071, 1, 1, 1
4, 0, 0.01, 0.0171, 1, 2, 2
4, 0, 0.0109, 0.0279, 1, 3, 3
4, 0, 0.0108, 0.0387, 1, 4, 4
4, 0, 0.0074, 0.0462, 1, 5, 5
4, 0, 0.0127, 0.0589, 1, 6, 6
4, 0, 0.0111, 0.07, 1, 7, 7
4, 0, 0.0107, 0.0807, 1, 8, 8
4, 0, 0.0073, 0.0881, 1, 9, 9
4, 0, 0.0136, 0.1016, 1, 10, 10
4, 0, 0.018, 0.1197, 1, 11, 11
4, 0, 0.0188, 0.1384, 1, 12, 12
4, 0, 0.015, 0.1534, 1, 13, 13
4, 0, 0.0117, 0.1651, 1, 14, 14
4, 0, 0.0104, 0.1755, 1, 15, 15
4, 0, 0.0127, 0.1882, 1, 16, 16
4, 0, 0.0093, 0.1975, 1, 17, 17
4, 0, 0.0077, 0.2051, 1, 18, 18
4, 0, 0.0114, 0.2166, 1, 19, 19
4, 0, 0.0099, 0.2265, 1, 20, 20
2, 1, 0.0122, 0.2386, 2, 1, 21
2, 0, 0.0098, 0.2484, 2, 2, 22
2, 0.0404, 0.0315, 0.2799, 2, 3, 23
2, 0, 0.0182, 0.2981, 2, 4, 24
2, 0, 0.0116, 0.3097, 2, 5, 25
2, 0, 0.0123, 0.322, 2, 6, 26
2, 0, 0.012, 0.334, 2, 7, 27
2, 0, 0.0142, 0.3482, 2, 8, 28
2, 0, 0.0154, 0.3636, 2, 9, 29
2, 0, 0.0124, 0.3759, 2, 10, 30
2, 0, 0.014, 0.3899, 2, 11, 31
2, 0, 0.0143, 0.4042, 2, 12, 32
2, 0, 0.0157, 0.4199, 2, 13, 33
2, 0, 0.0154, 0.4353, 2, 14, 34
2, 0, 0.0143, 0.4496, 2, 15, 35
2, 0, 0.0138, 0.4634, 2, 16, 36
2, 0, 0.0144, 0.4779, 2, 17, 37
2, 0, 0.0117, 0.4895, 2, 18, 38
2, 0, 0.0117, 0.5013, 2, 19, 39
2, 0, 0.0169, 0.5181, 2, 20, 40
2, 1, 0.0152, 0.5333, 3, 1, 41
2, 0.6513, 0.0218, 0.5551, 3, 2, 42
2, 0.0202, 0.0233, 0.5784, 3, 3, 43
2, 0.1546, 0.0532, 0.6317, 3, 4, 44
2, 0, 0.0178, 0.6495, 3, 5, 45
2, 0, 0.011, 0.6604, 3, 6, 46
2, 0, 0.0108, 0.6712, 3, 7, 47
2, 0, 0.0154, 0.6866, 3, 8, 48
2, 0, 0.0138, 0.7004, 3, 9, 49
2, 0, 0.0176, 0.718, 3, 10, 50
2, 0, 0.0156, 0.7337, 3, 11, 51
2, 0, 0.0165, 0.7501, 3, 12, 52
2, 0, 0.0109, 0.761, 3, 13, 53
2, 0, 0.0169, 0.7779, 3, 14, 54
2, 0, 0.0127, 0.7905, 3, 15, 55
2, 0, 0.0115, 0.802, 3, 16, 56
2, 0, 0.0169, 0.8189, 3, 17, 57
2, 0, 0.015, 0.8339, 3, 18, 58
2, 0, 0.0171, 0.851, 3, 19, 59
2, 0, 0.0132, 0.8642, 3, 20, 60
2, 1, 0.0128, 0.877, 4, 1, 61
2, 0.5105, 0.0175, 0.8945, 4, 2, 62
102, 0.4133, 0.0324, 0.9268, 4, 3, 63
2, 0.1067, 0.0473, 0.9742, 4, 4, 64
2, 0.0087, 0.0267, 1.0008, 4, 5, 65
2, 0.0281, 0.028, 1.0289, 4, 6, 66
2, 0, 0.0595, 1.0884, 4, 7, 67
2, 0, 0.0437, 1.132, 4, 8, 68
2, 0, 0.0269, 1.1589, 4, 9, 69
2, 0, 0.0153, 1.1742, 4, 10, 70
2, 0, 0.013, 1.1872, 4, 11, 71
2, 0, 0.0134, 1.2006, 4, 12, 72
2, 0, 0.0229, 1.2235, 4, 13, 73
2, 0, 0.0118, 1.2353, 4, 14, 74
2, 0, 0.0178, 1.2531, 4, 15, 75
2, 0, 0.0139, 1.2671, 4, 16, 76
2, 0, 0.0114, 1.2785, 4, 17, 77
2, 0, 0.0159, 1.2945, 4, 18, 78
2, 0, 0.0189, 1.3134, 4, 19, 79
2, 0, 0.0172, 1.3306, 4, 20, 80
2, 1, 0.0165, 1.3471, 5, 1, 81
