solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
4, 0, 0.0088, 0.0088, 1, 1, 1
4, 0, 0.0066, 0.0154, 1, 2, 2
4, 0, 0.0072, 0.0226, 1, 3, 3
4, 0, 0.0143, 0.0369, 1, 4, 4
4, 0, 0.0099, 0.0468, 1, 5, 5
4, 0, 0.0118, 0.0586, 1, 6, 6
4, 0, 0.0146, 0.0733, 1, 7, 7
4, 0, 0.0091, 0.0824, 1, 8, 8
4, 0, 0.0066, 0.089, 1, 9, 9
4, 0, 0.0133, 0.1023, 1, 10, 10
4, 0, 0.0119, 0.1142, 1, 11, 11
4, 0, 0.0102, 0.1245, 1, 12, 12
4, 0, 0.0141, 0.1385, 1, 13, 13
4, 0, 0.0116, 0.1502, 1, 14, 14
4, 0, 0.0107, 0.1609, 1, 15, 15
4, 0, 0.0118, 0.1727, 1, 16, 16
4, 0, 0.0082, 0.1808, 1, 17, 17
4, 0, 0.014, 0.1948, 1, 18, 18
4, 0, 0.0093, 0.2041, 1, 19, 19
4, 0, 0.0113, 0.2154, 1, 20, 20
2, 1, 0.0107, 0.2261, 2, 1, 21
2, 0, 0.018, 0.2441, 2, 2, 22
2, 0.0404, 0.0221, 0.2662, 2, 3, 23
2, 0, 0.0219, 0.2881, 2, 4, 24
2, 0, 0.0175, 0.3056, 2, 5, 25
2, 0, 0.0193, 0.3249, 2, 6, 26
2, 0, 0.0247, 0.3496, 2, 7, 27
2, 0, 0.026, 0.3756, 2, 8, 28
2, 0, 0.019, 0.3946, 2, 9, 29
2, 0, 0.0144, 0.409, 2, 10, 30
2, 0, 0.0214, 0.4304, 2, 11, 31
2, 0, 0.0188, 0.4493, 2, 12, 32
2, 0, 0.0152, 0.4644, 2, 13, 33
2, 0, 0.0137, 0.4781, 2, 14, 34
2, 0, 0.0119, 0.4901, 2, 15, 35
2, 0, 0.0169, 0.507, 2, 16, 36
2, 0, 0.0153, 0.5222, 2, 17, 37
2, 0, 0.0137, 0.5359, 2, 18, 38
2, 0, 0.0238, 0.5597, 2, 19, 39
2, 0, 0.0205, 0.5802, 2, 20, 40
2, 1, 0.0146, 0.5948, 3, 1, 41
2, 0.6513, 0.0353, 0.6301, 3, 2, 42
2, 0.0202, 0.0261, 0.6561, 3, 3, 43
2, 0.1546, 0.037, 0.6931, 3, 4, 44
2, 0, 0.0297, 0.7228, 3, 5, 45
2, 0, 0.0251, 0.7478, 3, 6, 46
2, 0, 0.0168, 0.7647, 3, 7, 47
2, 0, 0.0321, 0.7967, 3, 8, 48
2, 0, 0.0362, 0.833, 3, 9, 49
2, 0, 0.0336, 0.8666, 3, 10, 50
2, 0, 0.0493, 0.9159, 3, 11, 51
2, 0, 0.0348, 0.9507, 3, 12, 52
2, 0, 0.0485, 0.9992, 3, 13, 53
2, 0, 0.0428, 1.0421, 3, 14, 54
2, 0, 0.022, 1.0641, 3, 15, 55
2, 0, 0.0298, 1.0939, 3, 16, 56
2, 0, 0.0389, 1.1328, 3, 17, 57
2, 0, 0.0157, 1.1485, 3, 18, 58
2, 0, 0.0374, 1.1859, 3, 19, 59
2, 0, 0.0265, 1.2124, 3, 20, 60
2, 1, 0.0184, 1.2308, 4, 1, 61
2, 0.5105, 0.027, 1.2578, 4, 2, 62
2, 0.4133, 0.039, 1.2968, 4, 3, 63
2, 0.1067, 0.0397, 1.3365, 4, 4, 64
2, 0.0087, 0.0361, 1.3726, 4, 5, 65
102, 0.0281, 0.0604, 1.433, 4, 6, 66
2, 0, 0.0481, 1.4811, 4, 7, 67
2, 0, 0.0383, 1.5194, 4, 8, 68
2, 0, 0.0225, 1.5419, 4, 9, 69
2, 0, 0.0267, 1.5686, 4, 10, 70
2, 0, 0.0312, 1.5998, 4, 11, 71
2, 0, 0.0279, 1.6277, 4, 12, 72
2, 0, 0.0335, 1.6612, 4, 13, 73
2, 0, 0.0268, 1.688, 4, 14, 74
2, 0, 0.0359, 1.7239, 4, 15, 75
2, 0, 0.0461, 1.7701, 4, 16, 76
2, 0, 0.0234, 1.7934, 4, 17, 77
2, 0, 0.0509, 1.8443, 4, 18, 78
2, 0, 0.0318, 1.8761, 4, 19, 79
2, 0, 0.0427, 1.9187, 4, 20, 80
2, 1, 0.0151, 1.9338, 5, 1, 81
2, 0.9114, 0.0181, 1.9519, 5, 2, 82
2, 0.4364, 0.0263, 1.9782, 5, 3, 83
2, 0.3493, 0.0369, 2.0151, 5, 4, 84
2, 0.0473, 0.0302, 2.0452, 5, 5, 85
2, 0.0946, 0.0476, 2.0928, 5, 6, 86
2, 0.0348, 0.0567, 2.1495, 5, 7, 87
2, 0.0486, 0.1306, 2.2801, 5, 8, 88
2, 0.01, 0.1275, 2.4076, 5, 9, 89
2, 0, 0.0248, 2.4324, 5, 10, 90
2, 0, 0.0341, 2.4665, 5, 11, 91
2, 0, 0.0311, 2.4976, 5, 12, 92
2, 0, 0.0364, 2.534, 5, 13, 93
2, 0, 0.0376, 2.5715, 5, 14, 94
2, 0, 0.0218, 2.5934, 5, 15, 95
2, 0, 0.046, 2.6393, 5, 16, 96
2, 0, 0.0273, 2.6666, 5, 17, 97
2, 0, 0.0331, 2.6997, 5, 18, 98
2, 0, 0.0407, 2.7403, 5, 19, 99
2, 0, 0.0331, 2.7734, 5, 20, 100
2, 1, 0.0168, 2.7902, 6, 1, 101
2, 0.928, 0.0181, 2.8083, 6, 2, 102
102, 0.4583, 0.037, 2.8453, 6, 3, 103
2, 0.3201, 0.0541, 2.8994, 6, 4, 104
2, 0.2225, 0.0294, 2.9288, 6, 5, 105
2, 0.1689, 0.0311, 2.9598, 6, 6, 106
2, 0.0719, 0.0666, 3.0265, 6, 7, 107
2, 0.0312, 0.1015, 3.128, 6, 8, 108
2, 0.0374, 0.1928, 3.3208, 6, 9, 109
2, 0.003, 0.1738, 3.4946, 6, 10, 110
3, 0.007, 0.3619, 3.8566, 6, 11, 111
2, 0, 0.0308, 3.8874, 6, 12, 112
2, 0, 0.0586, 3.9459, 6, 13, 113
2, 0, 0.069, 4.0149, 6, 14, 114
2, 0, 0.0968, 4.1117, 6, 15, 115
2, 0, 0.0402, 4.1519, 6, 16, 116
2, 0, 0.1224, 4.2744, 6, 17, 117
2, 0, 0.1385, 4.4129, 6, 18, 118
2, 0, 0.0448, 4.4577, 6, 19, 119
2, 0, 0.0702, 4.5279, 6, 20, 120
2, 1, 0.0215, 4.5494, 7, 1, 121
2, 0.8227, 0.0183, 4.5677, 7, 2, 122
2, 0.508, 0.0354, 4.6031, 7, 3, 123
2, 0.3845, 0.0436, 4.6467, 7, 4, 124
2, 0.3482, 0.0404, 4.687, 7, 5, 125
2, 0.2354, 0.1462, 4.8333, 7, 6, 126
2, 0.0753, 0.0426, 4.8759, 7, 7, 127
2, 0.0348, 0.0698, 4.9457, 7, 8, 128
2, 0.0285, 0.1706, 5.1163, 7, 9, 129
2, 0.0317, 0.3183, 5.4346, 7, 10, 130
2, 0.015, 0.3768, 5.8114, 7, 11, 131
2, 0.02, 2.0607, 7.872, 7, 12, 132
2, 0, 0.0454, 7.9174, 7, 13, 133
2, 0, 0.032, 7.9494, 7, 14, 134
2, 0, 0.0233, 7.9727, 7, 15, 135
2, 0, 0.0475, 8.0203, 7, 16, 136
2, 0, 0.1203, 8.1406, 7, 17, 137
2, 0, 0.0323, 8.1728, 7, 18, 138
2, 0, 0.0479, 8.2207, 7, 19, 139
2, 0, 0.0537, 8.2744, 7, 20, 140
2, 1, 0.012, 8.2864, 8, 1, 141
2, 0.7148, 0.0203, 8.3066, 8, 2, 142
2, 0.562, 0.0371, 8.3437, 8, 3, 143
2, 0.3741, 0.0438, 8.3875, 8, 4, 144
2, 0.321, 0.0953, 8.4828, 8, 5, 145
2, 0.2437, 0.0867, 8.5696, 8, 6, 146
2, 0.1855, 0.1954, 8.765, 8, 7, 147
102, 0.0536, 0.0518, 8.8168, 8, 8, 148
2, 0.0317, 0.1218, 8.9386, 8, 9, 149
2, 0.0525, 0.7601, 9.6987, 8, 10, 150
2, 0.0434, 2.4503, 12.149, 8, 11, 151
2, 0.0172, 1.275, 13.424, 8, 12, 152
2, 0.0235, 9.6635, 23.0875, 8, 13, 153
3, 0.0019, 9.7641, 32.8516, 8, 14, 154
3, 0.0025, 99.2238, 132.0754, 8, 15, 155
2, 0, 0.0529, 132.1283, 8, 16, 156
2, 0, 0.0707, 132.1991, 8, 17, 157
2, 0, 0.1076, 132.3067, 8, 18, 158
2, 0, 0.1733, 132.48, 8, 19, 159
2, 0, 0.1058, 132.5858, 8, 20, 160
2, 1, 0.0115, 132.5972, 9, 1, 161
2, 0.7929, 0.0257, 132.6229, 9, 2, 162
2, 0.5585, 0.0589, 132.6819, 9, 3, 163
2, 0.4306, 0.0737, 132.7556, 9, 4, 164
2, 0.3275, 0.0584, 132.8139, 9, 5, 165
2, 0.2601, 0.0918, 132.9057, 9, 6, 166
2, 0.2079, 0.3086, 133.2143, 9, 7, 167
2, 0.2127, 0.2089, 133.4232, 9, 8, 168
2, 0.023, 0.0739, 133.4971, 9, 9, 169
3, 0.0275, 0.2409, 133.738, 9, 10, 170
2, 0.0321, 0.2504, 133.9884, 9, 11, 171
3, 0.0346, 4.9616, 138.9501, 9, 12, 172
102, 0.0288, 3.9469, 142.897, 9, 13, 173
521, 0.0256, 64.2906, 207.1876, 9, 14, 174
521, 0.038, 0.263, 207.4506, 9, 15, 175
521, 0.0857, 0.0824, 207.5329, 9, 16, 176
521, 0.0255, 0.0759, 207.6088, 9, 17, 177
521, 0.0309, 0.0814, 207.6902, 9, 18, 178
521, 0.0164, 0.0727, 207.7629, 9, 19, 179
521, 0.0334, 0.0757, 207.8386, 9, 20, 180
2, 1, 0.0147, 207.8533, 10, 1, 181
2, 0.711, 0.0353, 207.8886, 10, 2, 182
