solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
4, 0, 0.0071, 0.0071, 1, 1, 1
4, 0, 0.0112, 0.0184, 1, 2, 2
4, 0, 0.0107, 0.029, 1, 3, 3
4, 0, 0.0106, 0.0396, 1, 4, 4
4, 0, 0.0071, 0.0467, 1, 5, 5
4, 0, 0.0104, 0.0571, 1, 6, 6
4, 0, 0.0155, 0.0726, 1, 7, 7
4, 0, 0.014, 0.0866, 1, 8, 8
4, 0, 0.0156, 0.1022, 1, 9, 9
4, 0, 0.013, 0.1152, 1, 10, 10
4, 0, 0.0075, 0.1227, 1, 11, 11
4, 0, 0.0111, 0.1338, 1, 12, 12
4, 0, 0.0162, 0.15, 1, 13, 13
4, 0, 0.0091, 0.1591, 1, 14, 14
4, 0, 0.0106, 0.1697, 1, 15, 15
4, 0, 0.0123, 0.182, 1, 16, 16
4, 0, 0.0099, 0.192, 1, 17, 17
4, 0, 0.008, 0.1999, 1, 18, 18
4, 0, 0.007, 0.2069, 1, 19, 19
4, 0, 0.0112, 0.2181, 1, 20, 20
2, 1, 0.0121, 0.2303, 2, 1, 21
2, 0, 0.0113, 0.2416, 2, 2, 22
2, 0.0404, 0.0173, 0.2589, 2, 3, 23
2, 0, 0.0149, 0.2738, 2, 4, 24
2, 0, 0.0189, 0.2927, 2, 5, 25
2, 0, 0.0181, 0.3108, 2, 6, 26
2, 0, 0.0126, 0.3234, 2, 7, 27
2, 0, 0.0218, 0.3452, 2, 8, 28
2, 0, 0.0167, 0.362, 2, 9, 29
2, 0, 0.0141, 0.3761, 2, 10, 30
2, 0, 0.0221, 0.3982, 2, 11, 31
2, 0, 0.0193, 0.4175, 2, 12, 32
2, 0, 0.0139, 0.4314, 2, 13, 33
2, 0, 0.0148, 0.4463, 2, 14, 34
2, 0, 0.019, 0.4652, 2, 15, 35
2, 0, 0.0153, 0.4805, 2, 16, 36
2, 0, 0.0129, 0.4935, 2, 17, 37
2, 0, 0.019, 0.5125, 2, 18, 38
2, 0, 0.0151, 0.5276, 2, 19, 39
2, 0, 0.0124, 0.54, 2, 20, 40
2, 1, 0.0145, 0.5545, 3, 1, 41
2, 0.6513, 0.029, 0.5835, 3, 2, 42
2, 0.0202, 0.0316, 0.6152, 3, 3, 43
2, 0.1546, 0.0432, 0.6583, 3, 4, 44
2, 0, 0.0189, 0.6773, 3, 5, 45
2, 0, 0.0205, 0.6978, 3, 6, 46
2, 0, 0.0206, 0.7184, 3, 7, 47
2, 0, 0.0387, 0.7571, 3, 8, 48
2, 0, 0.0277, 0.7848, 3, 9, 49
2, 0, 0.0535, 0.8383, 3, 10, 50
2, 0, 0.0229, 0.8613, 3, 11, 51
2, 0, 0.0365, 0.8977, 3, 12, 52
2, 0, 0.0395, 0.9373, 3, 13, 53
2, 0, 0.0313, 0.9685, 3, 14, 54
2, 0, 0.0357, 1.0042, 3, 15, 55
2, 0, 0.0167, 1.0209, 3, 16, 56
2, 0, 0.032, 1.0529, 3, 17, 57
2, 0, 0.0154, 1.0683, 3, 18, 58
2, 0, 0.0519, 1.1202, 3, 19, 59
2, 0, 0.0261, 1.1463, 3, 20, 60
2, 1, 0.0133, 1.1596, 4, 1, 61
2, 0.5105, 0.0235, 1.1831, 4, 2, 62
2, 0.4133, 0.0587, 1.2418, 4, 3, 63
2, 0.1067, 0.0287, 1.2705, 4, 4, 64
102, 0.0087, 0.0342, 1.3047, 4, 5, 65
2, 0.0281, 0.0419, 1.3465, 4, 6, 66
2, 0, 0.0823, 1.4288, 4, 7, 67
2, 0, 0.0366, 1.4654, 4, 8, 68
2, 0, 0.0271, 1.4925, 4, 9, 69
2, 0, 0.0394, 1.5319, 4, 10, 70
2, 0, 0.0335, 1.5654, 4, 11, 71
2, 0, 0.0412, 1.6065, 4, 12, 72
2, 0, 0.0446, 1.6511, 4, 13, 73
2, 0, 0.0396, 1.6908, 4, 14, 74
2, 0, 0.0423, 1.733, 4, 15, 75
2, 0, 0.0405, 1.7735, 4, 16, 76
2, 0, 0.0192, 1.7927, 4, 17, 77
2, 0, 0.0408, 1.8336, 4, 18, 78
2, 0, 0.0333, 1.8669, 4, 19, 79
2, 0, 0.0281, 1.895, 4, 20, 80
2, 1, 0.0144, 1.9094, 5, 1, 81
2, 0.9114, 0.0159, 1.9253, 5, 2, 82
2, 0.4364, 0.0259, 1.9512, 5, 3, 83
2, 0.3493, 0.0402, 1.9915, 5, 4, 84
102, 0.0473, 0.0409, 2.0324, 5, 5, 85
2, 0.0946, 0.0973, 2.1298, 5, 6, 86
2, 0.0348, 0.0905, 2.2203, 5, 7, 87
2, 0.0486, 0.1046, 2.3249, 5, 8, 88
3, 0.01, 0.1071, 2.432, 5, 9, 89
2, 0, 0.0237, 2.4557, 5, 10, 90
2, 0, 0.0343, 2.4901, 5, 11, 91
2, 0, 0.0383, 2.5283, 5, 12, 92
2, 0, 0.025, 2.5533, 5, 13, 93
3, 0, 0.0508, 2.6041, 5, 14, 94
2, 0, 0.0267, 2.6309, 5, 15, 95
2, 0, 0.0294, 2.6603, 5, 16, 96
2, 0, 0.022, 2.6824, 5, 17, 97
2, 0, 0.0266, 2.709, 5, 18, 98
2, 0, 0.0355, 2.7445, 5, 19, 99
2, 0, 0.0285, 2.7731, 5, 20, 100
2, 1, 0.0194, 2.7924, 6, 1, 101
2, 0.928, 0.0166, 2.8091, 6, 2, 102
102, 0.4583, 0.0455, 2.8545, 6, 3, 103
102, 0.3201, 0.0345, 2.8891, 6, 4, 104
102, 0.2225, 0.0364, 2.9255, 6, 5, 105
102, 0.1689, 0.0383, 2.9638, 6, 6, 106
2, 0.0719, 0.0516, 3.0154, 6, 7, 107
3, 0.0312, 0.2974, 3.3128, 6, 8, 108
2, 0.0374, 0.1776, 3.4904, 6, 9, 109
2, 0.003, 0.1204, 3.6108, 6, 10, 110
3, 0.007, 0.484, 4.0948, 6, 11, 111
2, 0, 0.0698, 4.1646, 6, 12, 112
2, 0, 0.107, 4.2716, 6, 13, 113
2, 0, 0.0418, 4.3134, 6, 14, 114
2, 0, 0.0757, 4.3891, 6, 15, 115
2, 0, 0.0369, 4.426, 6, 16, 116
2, 0, 0.0439, 4.47, 6, 17, 117
2, 0, 0.0847, 4.5547, 6, 18, 118
2, 0, 0.0305, 4.5852, 6, 19, 119
2, 0, 0.0393, 4.6245, 6, 20, 120
2, 1, 0.0132, 4.6376, 7, 1, 121
2, 0.8227, 0.0148, 4.6524, 7, 2, 122
2, 0.508, 0.0395, 4.6919, 7, 3, 123
2, 0.3845, 0.0393, 4.7313, 7, 4, 124
2, 0.3482, 0.0399, 4.7712, 7, 5, 125
103, 0.2354, 0.1681, 4.9393, 7, 6, 126
2, 0.0753, 0.0394, 4.9787, 7, 7, 127
2, 0.0348, 0.0635, 5.0421, 7, 8, 128
2, 0.0285, 0.1741, 5.2162, 7, 9, 129
2, 0.0317, 0.2201, 5.4363, 7, 10, 130
3, 0.015, 0.4134, 5.8497, 7, 11, 131
3, 0.02, 2.5844, 8.4341, 7, 12, 132
2, 0, 0.0682, 8.5023, 7, 13, 133
2, 0, 0.0302, 8.5324, 7, 14, 134
2, 0, 0.0229, 8.5553, 7, 15, 135
2, 0, 0.0349, 8.5903, 7, 16, 136
2, 0, 0.1209, 8.7112, 7, 17, 137
2, 0, 0.0368, 8.748, 7, 18, 138
2, 0, 0.0535, 8.8015, 7, 19, 139
2, 0, 0.081, 8.8825, 7, 20, 140
2, 1, 0.0141, 8.8966, 8, 1, 141
2, 0.7148, 0.0208, 8.9174, 8, 2, 142
2, 0.562, 0.0489, 8.9663, 8, 3, 143
2, 0.3741, 0.0631, 9.0294, 8, 4, 144
2, 0.321, 0.0917, 9.1211, 8, 5, 145
2, 0.2437, 0.0779, 9.1989, 8, 6, 146
3, 0.1855, 0.3885, 9.5874, 8, 7, 147
2, 0.0536, 0.1182, 9.7056, 8, 8, 148
2, 0.0317, 0.1549, 9.8605, 8, 9, 149
3, 0.0525, 0.7404, 10.601, 8, 10, 150
103, 0.0434, 1.0979, 11.6989, 8, 11, 151
2, 0.0172, 1.2419, 12.9408, 8, 12, 152
3, 0.0235, 4.7715, 17.7123, 8, 13, 153
3, 0.0019, 8.6537, 26.3661, 8, 14, 154
3, 0.0025, 36.7113, 63.0774, 8, 15, 155
2, 0, 0.0503, 63.1277, 8, 16, 156
2, 0, 0.0596, 63.1874, 8, 17, 157
2, 0, 0.0435, 63.2309, 8, 18, 158
2, 0, 1.1194, 64.3503, 8, 19, 159
2, 0, 0.1182, 64.4684, 8, 20, 160
2, 1, 0.0113, 64.4797, 9, 1, 161
2, 0.7929, 0.0232, 64.503, 9, 2, 162
3, 0.5585, 0.0647, 64.5676, 9, 3, 163
2, 0.4306, 0.0526, 64.6202, 9, 4, 164
2, 0.3275, 0.0564, 64.6766, 9, 5, 165
2, 0.2601, 0.0682, 64.7448, 9, 6, 166
3, 0.2079, 0.5372, 65.282, 9, 7, 167
3, 0.2127, 0.51, 65.792, 9, 8, 168
2, 0.023, 0.1929, 65.9849, 9, 9, 169
3, 0.0275, 0.4583, 66.4432, 9, 10, 170
103, 0.0321, 0.6233, 67.0665, 9, 11, 171
103, 0.0346, 5.0137, 72.0802, 9, 12, 172
3, 0.0288, 4.8953, 76.9755, 9, 13, 173
3, 0.0256, 21.9615, 98.937, 9, 14, 174
3, 0.0166, 37.1728, 136.1097, 9, 15, 175
3, 0.0092, 177.4358, 313.5455, 9, 16, 176
2, 0, 1.8731, 315.4186, 9, 17, 177
2, 0, 0.1267, 315.5452, 9, 18, 178
2, 0, 0.0862, 315.6315, 9, 19, 179
2, 0, 0.0772, 315.7087, 9, 20, 180
2, 1, 0.0109, 315.7196, 10, 1, 181
2, 0.711, 0.0244, 315.744, 10, 2, 182
2, 0.5756, 0.0572, 315.8012, 10, 3, 183
2, 0.4172, 0.0738, 315.875, 10, 4, 184
2, 0.3489, 0.0528, 315.9278, 10, 5, 185
2, 0.2444, 0.364, 316.2918, 10, 6, 186
3, 0.232, 0.5309, 316.8227, 10, 7, 187
3, 0.1924, 2.5721, 319.3948, 10, 8, 188
3, 0.1648, 12.017, 331.4119, 10, 9, 189
2, 0.0432, 0.3827, 331.7946, 10, 10, 190
103, 0.0549, 1.8489, 333.6435, 10, 11, 191
103, 0.0404, 6.0809, 339.7244, 10, 12, 192
3, 0.0365, 7.8347, 347.5591, 10, 13, 193
3, 0.0247, 12.807, 360.3662, 10, 14, 194
3, 0.0346, 138.6948, 499.061, 10, 15, 195
521, 0.0151, 41.0584, 540.1194, 10, 16, 196
521, 0.0391, 0.482, 540.6014, 10, 17, 197
521, 0.0653, 0.0792, 540.6807, 10, 18, 198
521, 0.045, 0.0736, 540.7543, 10, 19, 199
521, 0.0694, 0.0847, 540.839, 10, 20, 200
2, 1, 0.0222, 540.8611, 11, 1, 201
