solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
4, 0, 0.0081, 0.0081, 1, 1, 1
4, 0, 0.0082, 0.0163, 1, 2, 2
4, 0, 0.0087, 0.025, 1, 3, 3
4, 0, 0.0083, 0.0333, 1, 4, 4
4, 0, 0.008, 0.0413, 1, 5, 5
4, 0, 0.0085, 0.0498, 1, 6, 6
4, 0, 0.0077, 0.0575, 1, 7, 7
4, 0, 0.0083, 0.0657, 1, 8, 8
4, 0, 0.0077, 0.0734, 1, 9, 9
4, 0, 0.0081, 0.0815, 1, 10, 10
4, 0, 0.0084, 0.0899, 1, 11, 11
4, 0, 0.0091, 0.099, 1, 12, 12
4, 0, 0.0136, 0.1126, 1, 13, 13
4, 0, 0.008, 0.1207, 1, 14, 14
4, 0, 0.0092, 0.1299, 1, 15, 15
4, 0, 0.009, 0.1389, 1, 16, 16
4, 0, 0.0109, 0.1498, 1, 17, 17
4, 0, 0.0139, 0.1636, 1, 18, 18
4, 0, 0.0114, 0.1751, 1, 19, 19
4, 0, 0.0112, 0.1862, 1, 20, 20
2, 1, 0.0159, 0.2021, 2, 1, 21
2, 0, 0.0132, 0.2153, 2, 2, 22
2, 0.0404, 0.0212, 0.2365, 2, 3, 23
2, 0, 0.0142, 0.2508, 2, 4, 24
2, 0, 0.0149, 0.2656, 2, 5, 25
2, 0, 0.016, 0.2817, 2, 6, 26
2, 0, 0.0174, 0.2991, 2, 7, 27
2, 0, 0.0197, 0.3188, 2, 8, 28
2, 0, 0.014, 0.3328, 2, 9, 29
2, 0, 0.0143, 0.3471, 2, 10, 30
2, 0, 0.0169, 0.364, 2, 11, 31
2, 0, 0.0202, 0.3842, 2, 12, 32
2, 0, 0.0155, 0.3997, 2, 13, 33
2, 0, 0.0145, 0.4142, 2, 14, 34
2, 0, 0.0143, 0.4286, 2, 15, 35
2, 0, 0.0139, 0.4424, 2, 16, 36
2, 0, 0.0146, 0.457, 2, 17, 37
2, 0, 0.0183, 0.4754, 2, 18, 38
2, 0, 0.0157, 0.4911, 2, 19, 39
2, 0, 0.0157, 0.5068, 2, 20, 40
2, 1, 0.0124, 0.5192, 3, 1, 41
2, 0.6513, 0.031, 0.5502, 3, 2, 42
2, 0.0202, 0.027, 0.5772, 3, 3, 43
2, 0.1546, 0.067, 0.6442, 3, 4, 44
2, 0, 0.0244, 0.6686, 3, 5, 45
2, 0, 0.0146, 0.6831, 3, 6, 46
2, 0, 0.0176, 0.7008, 3, 7, 47
2, 0, 0.0403, 0.7411, 3, 8, 48
2, 0, 0.0373, 0.7784, 3, 9, 49
2, 0, 0.047, 0.8253, 3, 10, 50
2, 0, 0.04, 0.8654, 3, 11, 51
2, 0, 0.0447, 0.91, 3, 12, 52
2, 0, 0.0437, 0.9537, 3, 13, 53
2, 0, 0.0221, 0.9758, 3, 14, 54
2, 0, 0.0278, 1.0036, 3, 15, 55
2, 0, 0.0165, 1.0201, 3, 16, 56
2, 0, 0.0282, 1.0483, 3, 17, 57
2, 0, 0.013, 1.0613, 3, 18, 58
2, 0, 0.025, 1.0863, 3, 19, 59
2, 0, 0.0224, 1.1087, 3, 20, 60
2, 1, 0.0118, 1.1205, 4, 1, 61
2, 0.5105, 0.0254, 1.1459, 4, 2, 62
2, 0.4133, 0.0259, 1.1718, 4, 3, 63
2, 0.1067, 0.0283, 1.2001, 4, 4, 64
2, 0.0087, 0.0334, 1.2336, 4, 5, 65
102, 0.0281, 0.0243, 1.2579, 4, 6, 66
2, 0, 0.0276, 1.2854, 4, 7, 67
2, 0, 0.0287, 1.3142, 4, 8, 68
2, 0, 0.0274, 1.3415, 4, 9, 69
2, 0, 0.0336, 1.3752, 4, 10, 70
2, 0, 0.0271, 1.4023, 4, 11, 71
2, 0, 0.0339, 1.4361, 4, 12, 72
2, 0, 0.0294, 1.4655, 4, 13, 73
2, 0, 0.0292, 1.4947, 4, 14, 74
2, 0, 0.0308, 1.5255, 4, 15, 75
2, 0, 0.031, 1.5564, 4, 16, 76
2, 0, 0.0198, 1.5762, 4, 17, 77
2, 0, 0.0328, 1.609, 4, 18, 78
2, 0, 0.0283, 1.6373, 4, 19, 79
2, 0, 0.0476, 1.6849, 4, 20, 80
2, 1, 0.0134, 1.6983, 5, 1, 81
2, 0.9114, 0.0182, 1.7164, 5, 2, 82
2, 0.4364, 0.0377, 1.7541, 5, 3, 83
2, 0.3493, 0.0341, 1.7882, 5, 4, 84
2, 0.0473, 0.0351, 1.8233, 5, 5, 85
2, 0.0946, 0.0408, 1.864, 5, 6, 86
2, 0.0348, 0.0346, 1.8986, 5, 7, 87
2, 0.0486, 0.0771, 1.9758, 5, 8, 88
2, 0.01, 0.0904, 2.0661, 5, 9, 89
2, 0, 0.0282, 2.0943, 5, 10, 90
2, 0, 0.0416, 2.136, 5, 11, 91
2, 0, 0.0279, 2.1639, 5, 12, 92
2, 0, 0.0337, 2.1976, 5, 13, 93
2, 0, 0.0337, 2.2313, 5, 14, 94
2, 0, 0.0263, 2.2576, 5, 15, 95
2, 0, 0.034, 2.2916, 5, 16, 96
2, 0, 0.0192, 2.3107, 5, 17, 97
2, 0, 0.033, 2.3437, 5, 18, 98
2, 0, 0.0259, 2.3696, 5, 19, 99
2, 0, 0.0306, 2.4002, 5, 20, 100
2, 1, 0.0128, 2.4131, 6, 1, 101
2, 0.928, 0.0152, 2.4283, 6, 2, 102
102, 0.4583, 0.0355, 2.4637, 6, 3, 103
2, 0.3201, 0.0329, 2.4966, 6, 4, 104
2, 0.2225, 0.0466, 2.5433, 6, 5, 105
2, 0.1689, 0.0406, 2.5838, 6, 6, 106
2, 0.0719, 0.0673, 2.6512, 6, 7, 107
2, 0.0312, 0.0683, 2.7194, 6, 8, 108
2, 0.0374, 0.1572, 2.8766, 6, 9, 109
2, 0.003, 0.1108, 2.9874, 6, 10, 110
3, 0.007, 0.3504, 3.3378, 6, 11, 111
2, 0, 0.0372, 3.375, 6, 12, 112
2, 0, 0.0534, 3.4284, 6, 13, 113
2, 0, 0.0454, 3.4739, 6, 14, 114
2, 0, 0.0984, 3.5723, 6, 15, 115
2, 0, 0.0469, 3.6191, 6, 16, 116
2, 0, 0.0651, 3.6842, 6, 17, 117
2, 0, 0.0841, 3.7684, 6, 18, 118
2, 0, 0.0324, 3.8008, 6, 19, 119
2, 0, 0.0323, 3.8331, 6, 20, 120
2, 1, 0.0117, 3.8448, 7, 1, 121
2, 0.8227, 0.0171, 3.8619, 7, 2, 122
2, 0.508, 0.0265, 3.8885, 7, 3, 123
2, 0.3845, 0.0339, 3.9223, 7, 4, 124
2, 0.3482, 0.0445, 3.9668, 7, 5, 125
2, 0.2354, 0.1107, 4.0776, 7, 6, 126
2, 0.0753, 0.0463, 4.1239, 7, 7, 127
2, 0.0348, 0.053, 4.1769, 7, 8, 128
2, 0.0285, 0.1005, 4.2773, 7, 9, 129
2, 0.0317, 0.3607, 4.6381, 7, 10, 130
2, 0.015, 0.3662, 5.0043, 7, 11, 131
2, 0.02, 3.232, 8.2362, 7, 12, 132
2, 0, 0.1066, 8.3428, 7, 13, 133
2, 0, 0.0316, 8.3744, 7, 14, 134
2, 0, 0.0253, 8.3997, 7, 15, 135
2, 0, 0.0374, 8.4371, 7, 16, 136
2, 0, 0.1227, 8.5598, 7, 17, 137
2, 0, 0.0346, 8.5944, 7, 18, 138
2, 0, 0.0455, 8.6398, 7, 19, 139
2, 0, 0.047, 8.6868, 7, 20, 140
2, 1, 0.0137, 8.7005, 8, 1, 141
2, 0.7148, 0.02, 8.7205, 8, 2, 142
2, 0.562, 0.0315, 8.752, 8, 3, 143
2, 0.3741, 0.0402, 8.7922, 8, 4, 144
2, 0.321, 0.0633, 8.8555, 8, 5, 145
2, 0.2437, 0.0705, 8.926, 8, 6, 146
2, 0.1855, 0.2267, 9.1526, 8, 7, 147
102, 0.0536, 0.0773, 9.2299, 8, 8, 148
2, 0.0317, 0.1159, 9.3458, 8, 9, 149
2, 0.0525, 0.9262, 10.272, 8, 10, 150
2, 0.0434, 4.2109, 14.4829, 8, 11, 151
