solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
4, 0, 0.0076, 0.0076, 1, 1, 1
4, 0, 0.014, 0.0215, 1, 2, 2
4, 0, 0.0106, 0.0321, 1, 3, 3
4, 0, 0.0109, 0.043, 1, 4, 4
4, 0, 0.0113, 0.0544, 1, 5, 5
4, 0, 0.0079, 0.0622, 1, 6, 6
4, 0, 0.0097, 0.0719, 1, 7, 7
4, 0, 0.0082, 0.0802, 1, 8, 8
4, 0, 0.0135, 0.0937, 1, 9, 9
4, 0, 0.0085, 0.1022, 1, 10, 10
4, 0, 0.0089, 0.1111, 1, 11, 11
4, 0, 0.0136, 0.1247, 1, 12, 12
4, 0, 0.0133, 0.138, 1, 13, 13
4, 0, 0.0095, 0.1476, 1, 14, 14
4, 0, 0.0084, 0.156, 1, 15, 15
4, 0, 0.0097, 0.1657, 1, 16, 16
4, 0, 0.0141, 0.1798, 1, 17, 17
4, 0, 0.0095, 0.1893, 1, 18, 18
4, 0, 0.0146, 0.2039, 1, 19, 19
4, 0, 0.0088, 0.2127, 1, 20, 20
2, 1, 0.012, 0.2247, 2, 1, 21
2, 0, 0.0131, 0.2378, 2, 2, 22
2, 0.0404, 0.0246, 0.2623, 2, 3, 23
2, 0, 0.0141, 0.2764, 2, 4, 24
2, 0, 0.0183, 0.2948, 2, 5, 25
2, 0, 0.0121, 0.3069, 2, 6, 26
2, 0, 0.0119, 0.3188, 2, 7, 27
2, 0, 0.0173, 0.3361, 2, 8, 28
2, 0, 0.0157, 0.3518, 2, 9, 29
2, 0, 0.0188, 0.3707, 2, 10, 30
2, 0, 0.013, 0.3837, 2, 11, 31
2, 0, 0.0143, 0.3979, 2, 12, 32
2, 0, 0.0164, 0.4143, 2, 13, 33
2, 0, 0.0142, 0.4286, 2, 14, 34
2, 0, 0.0166, 0.4452, 2, 15, 35
2, 0, 0.0128, 0.4579, 2, 16, 36
2, 0, 0.0132, 0.4711, 2, 17, 37
2, 0, 0.0174, 0.4885, 2, 18, 38
2, 0, 0.0145, 0.503, 2, 19, 39
2, 0, 0.0146, 0.5176, 2, 20, 40
2, 1, 0.0161, 0.5338, 3, 1, 41
2, 0.6513, 0.0238, 0.5576, 3, 2, 42
2, 0.0202, 0.019, 0.5766, 3, 3, 43
2, 0.1546, 0.0592, 0.6357, 3, 4, 44
2, 0, 0.026, 0.6617, 3, 5, 45
2, 0, 0.0119, 0.6737, 3, 6, 46
2, 0, 0.0126, 0.6863, 3, 7, 47
2, 0, 0.012, 0.6983, 3, 8, 48
2, 0, 0.0161, 0.7144, 3, 9, 49
2, 0, 0.0218, 0.7361, 3, 10, 50
2, 0, 0.0131, 0.7492, 3, 11, 51
2, 0, 0.017, 0.7663, 3, 12, 52
2, 0, 0.0183, 0.7846, 3, 13, 53
2, 0, 0.0122, 0.7968, 3, 14, 54
2, 0, 0.0124, 0.8092, 3, 15, 55
2, 0, 0.019, 0.8282, 3, 16, 56
2, 0, 0.0154, 0.8436, 3, 17, 57
2, 0, 0.0176, 0.8612, 3, 18, 58
2, 0, 0.0129, 0.8741, 3, 19, 59
2, 0, 0.0137, 0.8879, 3, 20, 60
2, 1, 0.0157, 0.9035, 4, 1, 61
2, 0.5105, 0.016, 0.9195, 4, 2, 62
102, 0.4133, 0.0254, 0.9449, 4, 3, 63
2, 0.1067, 0.0499, 0.9948, 4, 4, 64
2, 0.0087, 0.036, 1.0307, 4, 5, 65
2, 0.0281, 0.0349, 1.0656, 4, 6, 66
2, 0, 0.0296, 1.0952, 4, 7, 67
2, 0, 0.0464, 1.1416, 4, 8, 68
2, 0, 0.0306, 1.1722, 4, 9, 69
2, 0, 0.0149, 1.1871, 4, 10, 70
2, 0, 0.0178, 1.2048, 4, 11, 71
2, 0, 0.0171, 1.2219, 4, 12, 72
2, 0, 0.0246, 1.2466, 4, 13, 73
2, 0, 0.0184, 1.265, 4, 14, 74
2, 0, 0.0168, 1.2818, 4, 15, 75
2, 0, 0.0186, 1.3004, 4, 16, 76
2, 0, 0.0167, 1.3171, 4, 17, 77
2, 0, 0.0207, 1.3379, 4, 18, 78
