solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, cash,  fileNumber
4, 0, 0.0055, 0.0172, 1, 1, 0, 1
4, 0, 0.0069, 0.0241, 1, 1, 6.25, 1
4, 0, 0.0072, 0.0313, 1, 1, 12.5, 1
4, 0, 0.0198, 0.0512, 1, 1, 18.75, 1
4, 0, 0.0113, 0.0624, 1, 1, 25, 1
4, 0, 0.0095, 0.0719, 1, 1, 31.25, 1
4, 0, 0.0068, 0.0788, 1, 1, 37.5, 1
4, 0, 0.0099, 0.0887, 1, 1, 43.75, 1
4, 0, 0.0092, 0.0979, 1, 1, 50, 1
4, 0, 0.007, 0.1049, 1, 1, 56.25, 1
4, 0, 0.007, 0.1118, 1, 1, 62.5, 1
4, 0, 0.0064, 0.1182, 1, 1, 68.75, 1
4, 0, 0.0065, 0.1247, 1, 1, 75, 1
4, 0, 0.0059, 0.1306, 1, 1, 81.25, 1
4, 0, 0.0064, 0.137, 1, 1, 87.5, 1
4, 0, 0.008, 0.145, 1, 1, 93.75, 1
4, 0, 0.0071, 0.1521, 1, 1, 100, 1
4, 0, 0.0072, 0.1593, 1, 1, 106.25, 1
4, 0, 0.009, 0.1683, 1, 1, 112.5, 1
4, 0, 0.0126, 0.1809, 1, 1, 118.75, 1
4, 0, 0.0073, 0.1882, 1, 1, 125, 1
4, 0, 0.0115, 0.1997, 1, 1, 131.25, 1
4, 0, 0.0118, 0.2114, 1, 1, 137.5, 1
4, 0, 0.0073, 0.2187, 1, 1, 143.75, 1
4, 0, 0.0096, 0.2283, 1, 1, 150, 1
4, 0, 0.0066, 0.2349, 1, 1, 156.25, 1
4, 0, 0.008, 0.2429, 1, 1, 162.5, 1
4, 0, 0.0114, 0.2544, 1, 1, 168.75, 1
4, 0, 0.0064, 0.2607, 1, 1, 175, 1
4, 0, 0.0083, 0.2691, 1, 1, 181.25, 1
4, 0, 0.0083, 0.2773, 1, 1, 187.5, 1
4, 0, 0.0124, 0.2897, 1, 1, 193.75, 1
4, 0, 0.01, 0.2997, 1, 1, 200, 1
4, 0, 0.0059, 0.3056, 1, 1, 206.25, 1
4, 0, 0.0106, 0.3162, 1, 1, 212.5, 1
4, 0, 0.0093, 0.3255, 1, 1, 218.75, 1
4, 0, 0.0124, 0.3379, 1, 1, 225, 1
4, 0, 0.0125, 0.3504, 1, 1, 231.25, 1
4, 0, 0.0071, 0.3576, 1, 1, 237.5, 1
